id_camara,LPR,id_camara LPR,Tipo,latitud,longitud
578,,578,Comun,"-38,008257","-57,5385752"
579,,579,Comun,"-38,014331","-57,5420614"
580,,580,Comun,"-38,017509","-57,544613"
581,,581,Comun,"-37,997962","-57,5542638"
582,,582,Comun,"-37,998955","-57,5479019"
583,,583,Comun,"-37,996605","-57,5417824"
585,,585,Comun,"-38,001973","-57,5531637"
586,,586,Comun,"-37,982754","-57,5843333"
587,,587,Comun,"-37,975338","-57,5432396"
589,LPR 1 (NORTE),589 LPR 1 (NORTE),LPR ,"-37,932353","-57,5315803"
589,LPR 2 (SUR),589 LPR 2 (SUR),LPR ,"-37,932353","-57,5315803"
589,,589,Comun,"-37,932353","-57,5315803"
589,,589,Comun,"-37,932353","-57,5315803"
593,,593,Comun,"-37,936894","-57,5496941"
595,,595,Comun,"-38,021721","-57,5796599"
596,,596,Comun,"-37,995545","-57,5522649"
599,,599,Comun,"-37,953276","-57,6044113"
600,,600,Comun,"-37,991451","-57,5715743"
601,,601,Comun,"-37,99696","-57,54489"
602,,602,Comun,"-38,012543","-57,5816004"
603,,603,Comun,"-37,99636","-57,63418"
604,,604,Comun,"-37,968647","-57,5475739"
609,,609,Comun,"-38,005912","-57,6779727"
610,,610,Comun,"-38,050976","-57,5529181"
612,,612,Comun,"-38,024389","-57,5676037"
613,,613,Comun,"-38,033686","-57,6068292"
615,,615,Comun,"-38,007299","-57,707738"
616,,616,Comun,"-38,004142","-57,6990746"
617,,617,Comun,"-38,004352","-57,7054615"
700,,700,Comun,"-38,000392","-57,5562156"
701,,701,Comun,"-37,952034","-57,5811967"
702,,702,Comun,"-38,0189","-57,5711611"
703,,703,Comun,"-37,99066","-57,5483354"
705,,705,Comun,"-38,000949","-57,5415961"
706,,706,Comun,"-37,980427","-57,5822796"
707,,707,Comun,"-37,986354","-57,5705099"
708,,708,Comun,"-38,040703","-57,5423252"
802,,802,Comun,"-37,993142","-57,6141114"
803,,803,Comun,"-37,987002","-57,5850746"
804,,804,Comun,"-37,989941","-57,5452102"
805,,805,Comun,"-37,981413","-57,584774"
808,,808,Comun,"-38,024803","-57,5547351"
809,LPR 1 (ESTE),809 LPR 1 (ESTE),LPR ,"-37,983806","-57,5754804"
809,,809,Comun,"-37,983806","-57,5754804"
810,,810,Comun,"-37,985959","-57,5757871"
811,,811,Comun,"-37,985175","-57,5751538"
812,,812,Comun,"-37,961495","-57,5616779"
813,,813,Comun,"-37,987956","-57,5491083"
821,,821,Comun,"-37,979126","-57,6028341"
567,,567,Comun,"-38,082307","-57,5458986"
443,,443,Comun,"-37,992208","-57,5452828"
653,,653,Comun,"-38,016717","-57,6404546"
603,,603,Comun,"-37,996364","-57,6341847"
635,,635,Comun,"-38,09684","-57,5864419"
636,,636,Comun,"-38,095019","-57,5836678"
637,,637,Comun,"-38,103764","-57,5942134"
638,,638,Comun,"-38,09634","-57,6040382"
639,,639,Comun,"-38,111105","-57,6064479"
640,,640,Comun,"-38,105173","-57,6142998"
641,,641,Comun,"-38,117196","-57,6052112"
642,,642,Comun,"-38,077937","-57,5687409"
643,,643,Comun,"-38,075457","-57,5659447"
644,,644,Comun,"-38,072727","-57,5693143"
645,,645,Comun,"-38,08643","-57,5924649"
683,,683,Comun,"-37,951505","-57,5592054"
